"Date d'entrée"	"Date de sortie"	"Type"	"Nb barres"	"Perf abs"	"Perf relat(%)"	"MFE"	"MAE"	"Gain unitaire"
"21 nov. 2017, 13:00:00"	"22 nov. 2017, 17:00:00"	"Court"	"7"	"-246,40€"	"-0,88%"	"0,00€"	"-246,62€"	"-11,2"
"17 nov. 2017, 05:00:00"	"21 nov. 2017, 13:00:00"	"Long"	"15"	"-131,10€"	"-0,44%"	"247,13€"	"-220,80€"	"-5,7"
"16 nov. 2017, 09:00:00"	"17 nov. 2017, 05:00:00"	"Court"	"5"	"-172,50€"	"-0,59%"	"0,00€"	"-206,31€"	"-7,5"
"15 nov. 2017, 05:00:00"	"16 nov. 2017, 09:00:00"	"Long"	"7"	"-138,00€"	"-0,47%"	"84,64€"	"-192,97€"	"-6,0"
"7 nov. 2017, 01:00:00"	"13 nov. 2017, 05:00:00"	"Long"	"26"	"-92,00€"	"-0,36%"	"148,42€"	"-104,18€"	"-4,6"
"3 nov. 2017, 17:00:00"	"7 nov. 2017, 01:00:00"	"Court"	"9"	"-212,40€"	"-0,93%"	"0,00€"	"-228,20€"	"-11,8"
"1 nov. 2017, 21:00:00"	"3 nov. 2017, 17:00:00"	"Long"	"11"	"-142,00€"	"-0,56%"	"88,22€"	"-175,88€"	"-7,1"
"17 oct. 2017, 21:00:00"	"1 nov. 2017, 21:00:00"	"Court"	"68"	"209,00€"	"+0,85%"	"388,90€"	"-70,71€"	"+11,0"
"26 sept. 2017, 13:00:00"	"17 oct. 2017, 21:00:00"	"Long"	"95"	"-268,80€"	"-1,29%"	"28,16€"	"-563,84€"	"-16,8"
"12 sept. 2017, 01:00:00"	"26 sept. 2017, 13:00:00"	"Court"	"65"	"404,80€"	"+1,90%"	"616,00€"	"-98,40€"	"+25,3"
"17 août 2017, 05:00:00"	"12 sept. 2017, 01:00:00"	"Long"	"111"	"739,80€"	"+3,19%"	"1212,30€"	"-79,38€"	"+41,1"
"15 août 2017, 21:00:00"	"17 août 2017, 05:00:00"	"Court"	"8"	"-289,80€"	"-1,27%"	"22,86€"	"-290,52€"	"-16,1"
"9 août 2017, 13:00:00"	"15 août 2017, 21:00:00"	"Long"	"27"	"84,00€"	"+0,33%"	"447,46€"	"0,00€"	"+4,2"
"4 août 2017, 21:00:00"	"9 août 2017, 13:00:00"	"Court"	"17"	"-171,00€"	"-0,72%"	"85,73€"	"-169,63€"	"-9,0"
"29 juin 2017, 05:00:00"	"4 août 2017, 21:00:00"	"Long"	"165"	"130,20€"	"+0,50%"	"435,35€"	"-956,95€"	"+6,2"
"26 juin 2017, 17:00:00"	"29 juin 2017, 05:00:00"	"Court"	"15"	"-144,40€"	"-0,61%"	"34,20€"	"-162,64€"	"-7,6"
"9 juin 2017, 09:00:00"	"23 juin 2017, 13:00:00"	"Court"	"63"	"255,00€"	"+1,18%"	"502,52€"	"-91,12€"	"+15,0"
"21 avr. 2017, 05:00:00"	"15 mai 2017, 05:00:00"	"Court"	"100"	"891,00€"	"+3,87%"	"1131,54€"	"-98,58€"	"+49,5"
"3 avr. 2017, 21:00:00"	"21 avr. 2017, 05:00:00"	"Long"	"76"	"596,20€"	"+2,16%"	"903,24€"	"-107,44€"	"+27,1"
"31 mars 2017, 01:00:00"	"3 avr. 2017, 21:00:00"	"Court"	"12"	"-189,00€"	"-0,72%"	"52,24€"	"-189,89€"	"-9,0"
"16 mars 2017, 01:00:00"	"31 mars 2017, 01:00:00"	"Long"	"68"	"361,60€"	"+1,85%"	"597,48€"	"0,00€"	"+22,6"
"1 mars 2017, 17:00:00"	"16 mars 2017, 01:00:00"	"Court"	"64"	"414,00€"	"+1,85%"	"859,65€"	"-72,75€"	"+23,0"
"16 févr. 2017, 05:00:00"	"1 mars 2017, 17:00:00"	"Long"	"59"	"139,40€"	"+0,66%"	"407,92€"	"-81,68€"	"+8,2"
"13 févr. 2017, 17:00:00"	"16 févr. 2017, 05:00:00"	"Court"	"15"	"-201,60€"	"-1,03%"	"0,00€"	"-229,14€"	"-12,6"
"31 janv. 2017, 13:00:00"	"13 févr. 2017, 17:00:00"	"Long"	"57"	"316,20€"	"+1,54%"	"636,65€"	"-17,51€"	"+18,6"
"25 janv. 2017, 13:00:00"	"31 janv. 2017, 13:00:00"	"Court"	"25"	"5,10€"	"+0,02%"	"380,63€"	"0,00€"	"+0,3"
"9 nov. 2016, 09:00:00"	"8 déc. 2016, 17:00:00"	"Long"	"131"	"-1098,40€"	"-10,49%"	"0,00€"	"-1171,40€"	"-137,3"
"7 nov. 2016, 21:00:00"	"9 nov. 2016, 09:00:00"	"Court"	"9"	"-396,20€"	"-2,21%"	"94,22€"	"-569,80€"	"-28,3"
"21 sept. 2016, 17:00:00"	"28 sept. 2016, 05:00:00"	"Long"	"28"	"-14,40€"	"-0,06%"	"262,97€"	"-18,01€"	"-0,8"
"12 sept. 2016, 01:00:00"	"21 sept. 2016, 17:00:00"	"Court"	"47"	"34,20€"	"+0,14%"	"368,32€"	"-55,00€"	"+1,8"
"5 sept. 2016, 01:00:00"	"12 sept. 2016, 01:00:00"	"Long"	"31"	"52,80€"	"+0,25%"	"415,10€"	"-2,18€"	"+3,3"
"22 août 2016, 01:00:00"	"5 sept. 2016, 01:00:00"	"Court"	"62"	"189,00€"	"+0,94%"	"450,60€"	"-69,15€"	"+12,6"
"16 août 2016, 13:00:00"	"22 août 2016, 01:00:00"	"Long"	"22"	"-237,00€"	"-1,17%"	"15,98€"	"-234,52€"	"-15,8"
"12 août 2016, 01:00:00"	"16 août 2016, 13:00:00"	"Court"	"16"	"-201,60€"	"-1,08%"	"47,41€"	"-295,05€"	"-14,4"
"10 août 2016, 21:00:00"	"12 août 2016, 01:00:00"	"Long"	"7"	"-124,50€"	"-0,62%"	"65,70€"	"-149,52€"	"-8,3"
"7 août 2016, 21:00:00"	"10 août 2016, 21:00:00"	"Court"	"18"	"-210,00€"	"-1,05%"	"0,00€"	"-338,09€"	"-14,0"
"27 juil. 2016, 21:00:00"	"7 août 2016, 21:00:00"	"Long"	"44"	"-43,40€"	"-0,23%"	"415,33€"	"-44,11€"	"-3,1"
"12 juil. 2016, 17:00:00"	"27 juil. 2016, 21:00:00"	"Court"	"69"	"88,00€"	"+0,60%"	"324,67€"	"-9,40€"	"+8,0"
"24 juin 2016, 09:00:00"	"12 juil. 2016, 17:00:00"	"Long"	"77"	"130,20€"	"+1,64%"	"308,80€"	"-91,10€"	"+21,7"
"21 juin 2016, 13:00:00"	"24 juin 2016, 09:00:00"	"Court"	"17"	"-482,90€"	"-3,43%"	"212,35€"	"-500,55€"	"-43,9"
"3 juin 2016, 17:00:00"	"21 juin 2016, 13:00:00"	"Long"	"74"	"501,80€"	"+3,11%"	"949,65€"	"0,00€"	"+38,6"
"18 mai 2016, 17:00:00"	"3 juin 2016, 17:00:00"	"Court"	"74"	"388,70€"	"+2,35%"	"857,20€"	"0,00€"	"+29,9"
"16 mai 2016, 05:00:00"	"18 mai 2016, 17:00:00"	"Long"	"15"	"-107,80€"	"-0,60%"	"68,60€"	"-109,90€"	"-7,7"
"9 mai 2016, 17:00:00"	"16 mai 2016, 05:00:00"	"Court"	"28"	"-120,00€"	"-0,79%"	"79,20€"	"-132,60€"	"-10,0"
"22 avr. 2016, 21:00:00"	"27 avr. 2016, 09:00:00"	"Court"	"16"	"-178,20€"	"-1,32%"	"0,00€"	"-180,00€"	"-16,2"
"19 avr. 2016, 17:00:00"	"22 avr. 2016, 21:00:00"	"Long"	"19"	"-270,00€"	"-1,79%"	"59,80€"	"-286,35€"	"-22,5"
"6 avr. 2016, 21:00:00"	"19 avr. 2016, 17:00:00"	"Court"	"55"	"-406,90€"	"-2,56%"	"0,00€"	"-466,70€"	"-31,3"
"6 avr. 2016, 01:00:00"	"6 avr. 2016, 21:00:00"	"Long"	"5"	"-94,90€"	"-0,59%"	"0,00€"	"-107,60€"	"-7,3"
"1 avr. 2016, 17:00:00"	"6 avr. 2016, 01:00:00"	"Court"	"15"	"-210,00€"	"-1,44%"	"0,00€"	"-245,40€"	"-17,5"
"17 mars 2016, 09:00:00"	"21 mars 2016, 13:00:00"	"Long"	"14"	"-168,00€"	"-1,33%"	"62,00€"	"-212,00€"	"-16,8"
"10 mars 2016, 05:00:00"	"17 mars 2016, 09:00:00"	"Court"	"32"	"-132,00€"	"-1,06%"	"208,50€"	"-212,50€"	"-13,2"
"18 févr. 2016, 21:00:00"	"22 févr. 2016, 21:00:00"	"Long"	"13"	"-241,20€"	"-2,17%"	"0,00€"	"-280,05€"	"-26,8"
"17 févr. 2016, 01:00:00"	"18 févr. 2016, 21:00:00"	"Court"	"11"	"-254,40€"	"-2,64%"	"5,60€"	"-282,30€"	"-31,8"
"13 janv. 2016, 01:00:00"	"19 janv. 2016, 09:00:00"	"Court"	"27"	"-57,40€"	"-0,38%"	"133,60€"	"-128,20€"	"-4,1"
"4 janv. 2016, 17:00:00"	"13 janv. 2016, 01:00:00"	"Long"	"39"	"157,70€"	"+0,77%"	"604,20€"	"-93,10€"	"+8,3"
"21 déc. 2015, 13:00:00"	"29 déc. 2015, 01:00:00"	"Long"	"27"	"-63,00€"	"-0,39%"	"113,75€"	"-70,00€"	"-4,2"
"11 déc. 2015, 05:00:00"	"21 déc. 2015, 13:00:00"	"Court"	"40"	"-83,20€"	"-0,49%"	"256,20€"	"-177,40€"	"-5,2"
"4 déc. 2015, 17:00:00"	"11 déc. 2015, 05:00:00"	"Long"	"28"	"-201,60€"	"-1,55%"	"23,40€"	"-263,40€"	"-16,8"
"28 oct. 2015, 21:00:00"	"4 déc. 2015, 17:00:00"	"Court"	"166"	"1020,60€"	"+6,30%"	"1488,20€"	"-51,94€"	"+72,9"
"21 oct. 2015, 17:00:00"	"28 oct. 2015, 13:00:00"	"Court"	"30"	"-104,00€"	"-0,56%"	"43,56€"	"-123,00€"	"-6,5"
"5 oct. 2015, 01:00:00"	"21 oct. 2015, 17:00:00"	"Long"	"78"	"424,50€"	"+2,49%"	"751,02€"	"-63,48€"	"+28,3"
"29 sept. 2015, 05:00:00"	"5 oct. 2015, 01:00:00"	"Court"	"24"	"-86,40€"	"-0,42%"	"459,87€"	"-104,07€"	"-4,8"
"16 sept. 2015, 21:00:00"	"29 sept. 2015, 05:00:00"	"Long"	"52"	"277,20€"	"+1,18%"	"738,99€"	"-45,36€"	"+13,2"
"26 août 2015, 09:00:00"	"1 sept. 2015, 09:00:00"	"Court"	"25"	"-71,50€"	"-0,57%"	"150,92€"	"-71,50€"	"-6,5"
"17 juin 2015, 09:00:00"	"7 août 2015, 09:00:00"	"Court"	"228"	"1573,20€"	"+7,02%"	"1876,63€"	"-442,70€"	"+82,8"
"10 juin 2015, 13:00:00"	"17 juin 2015, 09:00:00"	"Long"	"30"	"-136,80€"	"-0,61%"	"31,20€"	"-203,07€"	"-7,2"
"20 mai 2015, 09:00:00"	"10 juin 2015, 13:00:00"	"Court"	"94"	"319,60€"	"+1,56%"	"606,39€"	"-128,52€"	"+18,8"
"12 mai 2015, 21:00:00"	"20 mai 2015, 09:00:00"	"Long"	"34"	"183,60€"	"+0,90%"	"595,68€"	"-28,90€"	"+10,8"
"7 mai 2015, 09:00:00"	"12 mai 2015, 21:00:00"	"Court"	"22"	"-183,60€"	"-0,91%"	"5,11€"	"-212,49€"	"-10,8"
"6 mai 2015, 05:00:00"	"7 mai 2015, 09:00:00"	"Long"	"7"	"-216,00€"	"-1,00%"	"6,89€"	"-228,33€"	"-12,0"
"30 avr. 2015, 21:00:00"	"6 mai 2015, 05:00:00"	"Court"	"21"	"-152,10€"	"-0,99%"	"126,71€"	"-169,43€"	"-11,7"
"22 avr. 2015, 09:00:00"	"30 avr. 2015, 21:00:00"	"Long"	"40"	"-340,00€"	"-1,66%"	"154,41€"	"-436,34€"	"-20,0"
"17 avr. 2015, 05:00:00"	"22 avr. 2015, 09:00:00"	"Court"	"20"	"-91,50€"	"-0,51%"	"55,57€"	"-169,88€"	"-6,1"
"13 avr. 2015, 01:00:00"	"17 avr. 2015, 05:00:00"	"Long"	"25"	"-168,30€"	"-0,82%"	"2,61€"	"-324,30€"	"-9,9"
"9 avr. 2015, 05:00:00"	"13 avr. 2015, 01:00:00"	"Court"	"12"	"-168,00€"	"-0,88%"	"45,04€"	"-196,23€"	"-10,5"
"1 avr. 2015, 21:00:00"	"9 avr. 2015, 05:00:00"	"Long"	"27"	"-105,00€"	"-0,62%"	"252,14€"	"-108,92€"	"-7,5"
"19 mars 2015, 01:00:00"	"30 mars 2015, 21:00:00"	"Long"	"49"	"185,90€"	"+1,22%"	"474,89€"	"-78,52€"	"+14,3"
"3 mars 2015, 17:00:00"	"19 mars 2015, 01:00:00"	"Court"	"70"	"408,20€"	"+2,61%"	"726,37€"	"-45,83€"	"+31,4"
"26 févr. 2015, 13:00:00"	"3 mars 2015, 17:00:00"	"Long"	"20"	"-199,50€"	"-1,09%"	"68,10€"	"-197,85€"	"-13,3"
"29 janv. 2015, 05:00:00"	"26 févr. 2015, 13:00:00"	"Court"	"126"	"774,00€"	"+5,03%"	"1040,74€"	"-32,30€"	"+64,5"
"27 janv. 2015, 21:00:00"	"29 janv. 2015, 05:00:00"	"Long"	"8"	"-143,00€"	"-1,00%"	"0,00€"	"-148,88€"	"-13,0"
"27 janv. 2015, 01:00:00"	"27 janv. 2015, 21:00:00"	"Court"	"5"	"-171,60€"	"-1,12%"	"23,84€"	"-180,68€"	"-14,3"
"5 janv. 2015, 17:00:00"	"27 janv. 2015, 01:00:00"	"Long"	"95"	"809,00€"	"+6,75%"	"1046,32€"	"0,00€"	"+80,9"
"2 janv. 2015, 01:00:00"	"5 janv. 2015, 17:00:00"	"Court"	"11"	"-158,60€"	"-1,03%"	"47,91€"	"-158,92€"	"-12,2"
"30 déc. 2014, 17:00:00"	"2 janv. 2015, 01:00:00"	"Long"	"9"	"-232,80€"	"-1,61%"	"0,00€"	"-266,16€"	"-19,4"
"15 déc. 2014, 21:00:00"	"28 déc. 2014, 21:00:00"	"Court"	"50"	"18,70€"	"+0,14%"	"261,69€"	"-161,04€"	"+1,7"
"8 déc. 2014, 01:00:00"	"9 déc. 2014, 05:00:00"	"Court"	"7"	"-152,40€"	"-1,07%"	"0,00€"	"-172,60€"	"-12,7"
"2 déc. 2014, 05:00:00"	"8 déc. 2014, 01:00:00"	"Long"	"24"	"-129,60€"	"-1,34%"	"47,28€"	"-168,96€"	"-16,2"
"14 nov. 2014, 17:00:00"	"27 nov. 2014, 21:00:00"	"Long"	"57"	"123,30€"	"+1,17%"	"261,82€"	"0,00€"	"+13,7"
"13 nov. 2014, 09:00:00"	"14 nov. 2014, 17:00:00"	"Court"	"8"	"-227,70€"	"-1,79%"	"23,54€"	"-226,71€"	"-20,7"
"10 nov. 2014, 09:00:00"	"13 nov. 2014, 09:00:00"	"Long"	"18"	"-203,50€"	"-1,58%"	"0,00€"	"-283,85€"	"-18,5"
"23 oct. 2014, 17:00:00"	"10 nov. 2014, 09:00:00"	"Court"	"73"	"957,60€"	"+4,34%"	"1563,74€"	"-109,72€"	"+53,2"
"26 sept. 2014, 13:00:00"	"23 oct. 2014, 17:00:00"	"Long"	"119"	"65,80€"	"+0,38%"	"425,32€"	"-504,42€"	"+4,7"
"28 août 2014, 13:00:00"	"2 sept. 2014, 05:00:00"	"Long"	"17"	"-224,00€"	"-0,87%"	"0,00€"	"-227,20€"	"-11,2"
"17 août 2014, 21:00:00"	"28 août 2014, 13:00:00"	"Court"	"52"	"136,00€"	"+0,65%"	"374,45€"	"-52,59€"	"+8,5"
"6 août 2014, 17:00:00"	"17 août 2014, 21:00:00"	"Long"	"45"	"-100,50€"	"-0,51%"	"151,87€"	"-114,77€"	"-6,7"
"29 juil. 2014, 21:00:00"	"6 août 2014, 17:00:00"	"Court"	"36"	"-149,60€"	"-0,68%"	"298,86€"	"-156,65€"	"-8,8"
"21 juil. 2014, 09:00:00"	"22 juil. 2014, 13:00:00"	"Long"	"7"	"-130,50€"	"-0,66%"	"1,55€"	"-133,30€"	"-8,7"
"14 juil. 2014, 17:00:00"	"21 juil. 2014, 09:00:00"	"Court"	"29"	"-78,40€"	"-0,43%"	"198,80€"	"-192,50€"	"-5,6"
"19 mai 2014, 17:00:00"	"4 juil. 2014, 17:00:00"	"Long"	"210"	"346,80€"	"+1,57%"	"505,92€"	"-960,84€"	"+20,4"
"16 mai 2014, 21:00:00"	"19 mai 2014, 17:00:00"	"Court"	"6"	"-129,20€"	"-0,59%"	"12,89€"	"-229,19€"	"-7,6"
"14 mai 2014, 13:00:00"	"16 mai 2014, 21:00:00"	"Long"	"14"	"-204,80€"	"-0,98%"	"6,49€"	"-232,35€"	"-12,8"
"8 mai 2014, 05:00:00"	"14 mai 2014, 13:00:00"	"Court"	"27"	"-220,50€"	"-1,14%"	"128,71€"	"-226,42€"	"-14,7"
"5 mai 2014, 01:00:00"	"8 mai 2014, 05:00:00"	"Long"	"19"	"-156,80€"	"-0,86%"	"157,36€"	"-176,00€"	"-11,2"
"25 avr. 2014, 17:00:00"	"30 avr. 2014, 13:00:00"	"Long"	"18"	"-152,60€"	"-0,84%"	"35,07€"	"-171,15€"	"-10,9"
"15 avr. 2014, 21:00:00"	"25 avr. 2014, 17:00:00"	"Court"	"42"	"2,60€"	"+0,02%"	"311,40€"	"-25,95€"	"+0,2"
"4 avr. 2014, 21:00:00"	"15 avr. 2014, 21:00:00"	"Long"	"44"	"-14,40€"	"-0,07%"	"414,41€"	"-91,03€"	"-0,9"
"10 mars 2014, 09:00:00"	"4 avr. 2014, 21:00:00"	"Court"	"120"	"378,30€"	"+2,18%"	"689,98€"	"-709,99€"	"+29,1"
"6 mars 2014, 17:00:00"	"10 mars 2014, 09:00:00"	"Long"	"11"	"-186,20€"	"-0,99%"	"73,22€"	"-283,06€"	"-13,3"
"28 févr. 2014, 21:00:00"	"6 mars 2014, 17:00:00"	"Court"	"24"	"-296,80€"	"-1,60%"	"0,00€"	"-400,39€"	"-21,2"
"4 févr. 2014, 05:00:00"	"28 févr. 2014, 21:00:00"	"Long"	"115"	"869,70€"	"+5,32%"	"1109,81€"	"-77,74€"	"+66,9"
"29 janv. 2014, 01:00:00"	"4 févr. 2014, 05:00:00"	"Court"	"26"	"-63,70€"	"-0,39%"	"142,77€"	"-187,30€"	"-4,9"
"23 janv. 2014, 21:00:00"	"29 janv. 2014, 01:00:00"	"Long"	"21"	"-175,50€"	"-0,93%"	"170,03€"	"-192,01€"	"-11,7"
"9 janv. 2014, 05:00:00"	"10 janv. 2014, 05:00:00"	"Court"	"6"	"-76,80€"	"-0,52%"	"6,68€"	"-77,80€"	"-6,4"
"2 janv. 2014, 05:00:00"	"9 janv. 2014, 05:00:00"	"Long"	"31"	"40,00€"	"+0,33%"	"183,90€"	"-52,50€"	"+4,0"
"17 déc. 2013, 17:00:00"	"27 déc. 2013, 09:00:00"	"Court"	"41"	"187,20€"	"+1,27%"	"466,56€"	"-40,44€"	"+15,6"
"13 déc. 2013, 01:00:00"	"17 déc. 2013, 09:00:00"	"Court"	"15"	"-200,20€"	"-1,48%"	"14,19€"	"-202,07€"	"-18,2"
"9 déc. 2013, 21:00:00"	"13 déc. 2013, 01:00:00"	"Long"	"19"	"-130,90€"	"-0,96%"	"241,45€"	"-138,82€"	"-11,9"
"18 nov. 2013, 01:00:00"	"2 déc. 2013, 13:00:00"	"Long"	"65"	"-691,60€"	"-3,83%"	"0,00€"	"-793,44€"	"-49,4"
"31 oct. 2013, 13:00:00"	"18 nov. 2013, 01:00:00"	"Court"	"72"	"447,70€"	"+3,06%"	"686,68€"	"0,00€"	"+40,7"
"17 oct. 2013, 17:00:00"	"31 oct. 2013, 13:00:00"	"Long"	"61"	"67,90€"	"+0,74%"	"247,30€"	"-41,45€"	"+9,7"
"9 oct. 2013, 17:00:00"	"17 oct. 2013, 17:00:00"	"Court"	"38"	"-220,00€"	"-1,54%"	"498,52€"	"-216,70€"	"-20,0"
"1 oct. 2013, 17:00:00"	"7 oct. 2013, 21:00:00"	"Court"	"26"	"-262,40€"	"-2,55%"	"0,00€"	"-273,76€"	"-32,8"
"23 sept. 2013, 05:00:00"	"27 sept. 2013, 21:00:00"	"Court"	"28"	"-147,20€"	"-1,39%"	"44,36€"	"-148,60€"	"-18,4"
"19 sept. 2013, 05:00:00"	"23 sept. 2013, 05:00:00"	"Long"	"14"	"-288,40€"	"-3,02%"	"40,16€"	"-320,10€"	"-41,2"
"4 sept. 2013, 21:00:00"	"19 sept. 2013, 05:00:00"	"Court"	"65"	"289,00€"	"+2,08%"	"944,35€"	"-45,95€"	"+28,9"
"4 sept. 2013, 01:00:00"	"4 sept. 2013, 21:00:00"	"Long"	"5"	"-228,80€"	"-1,47%"	"4,60€"	"-244,55€"	"-20,8"
"31 août 2013, 21:00:00"	"4 sept. 2013, 01:00:00"	"Court"	"14"	"-186,00€"	"-1,33%"	"106,50€"	"-200,50€"	"-18,6"
"31 juil. 2013, 17:00:00"	"9 août 2013, 05:00:00"	"Court"	"41"	"-64,00€"	"-0,49%"	"313,50€"	"-237,30€"	"-6,4"
"2 juil. 2013, 09:00:00"	"5 juil. 2013, 13:00:00"	"Long"	"19"	"-138,60€"	"-1,57%"	"0,00€"	"-140,85€"	"-19,8"
"7 juin 2013, 21:00:00"	"2 juil. 2013, 09:00:00"	"Court"	"100"	"1087,20€"	"+8,75%"	"1600,92€"	"-123,75€"	"+120,8"
"24 mai 2013, 01:00:00"	"29 mai 2013, 01:00:00"	"Long"	"19"	"-66,60€"	"-0,80%"	"17,58€"	"-70,50€"	"-11,1"
"22 avr. 2013, 17:00:00"	"7 mai 2013, 17:00:00"	"Long"	"63"	"107,50€"	"+1,51%"	"282,57€"	"-62,53€"	"+21,5"
"11 avr. 2013, 01:00:00"	"22 avr. 2013, 17:00:00"	"Court"	"48"	"1597,20€"	"+8,54%"	"2538,36€"	"-95,28€"	"+133,1"
"9 avr. 2013, 05:00:00"	"11 avr. 2013, 01:00:00"	"Long"	"11"	"-200,40€"	"-1,06%"	"163,52€"	"-227,92€"	"-16,7"
"25 mars 2013, 17:00:00"	"9 avr. 2013, 05:00:00"	"Court"	"59"	"359,80€"	"+1,61%"	"785,82€"	"-76,16€"	"+25,7"
"28 févr. 2013, 21:00:00"	"12 mars 2013, 01:00:00"	"Court"	"45"	"-49,00€"	"-0,31%"	"90,90€"	"-71,50€"	"-4,9"
"26 févr. 2013, 17:00:00"	"28 févr. 2013, 21:00:00"	"Long"	"13"	"-280,00€"	"-1,74%"	"101,10€"	"-318,60€"	"-28,0"
"8 févr. 2013, 17:00:00"	"26 févr. 2013, 17:00:00"	"Court"	"75"	"945,00€"	"+3,78%"	"1623,65€"	"0,00€"	"+63,0"
"4 févr. 2013, 21:00:00"	"8 févr. 2013, 17:00:00"	"Long"	"23"	"-92,40€"	"-0,39%"	"67,20€"	"-92,82€"	"-6,6"
"1 févr. 2013, 01:00:00"	"4 févr. 2013, 21:00:00"	"Court"	"12"	"-169,40€"	"-0,73%"	"10,18€"	"-179,80€"	"-12,1"
"30 janv. 2013, 21:00:00"	"1 févr. 2013, 01:00:00"	"Long"	"7"	"-225,00€"	"-0,89%"	"33,15€"	"-253,20€"	"-15,0"
"4 janv. 2013, 09:00:00"	"10 janv. 2013, 13:00:00"	"Court"	"26"	"-218,90€"	"-1,21%"	"147,89€"	"-222,15€"	"-19,9"
"31 déc. 2012, 21:00:00"	"4 janv. 2013, 09:00:00"	"Long"	"16"	"-417,30€"	"-1,91%"	"196,30€"	"-417,30€"	"-32,1"
"13 déc. 2012, 09:00:00"	"31 déc. 2012, 21:00:00"	"Court"	"72"	"304,20€"	"+1,38%"	"735,83€"	"-33,25€"	"+23,4"
"10 déc. 2012, 17:00:00"	"13 déc. 2012, 09:00:00"	"Long"	"16"	"-215,60€"	"-0,90%"	"0,00€"	"-214,62€"	"-15,4"
"28 nov. 2012, 17:00:00"	"10 déc. 2012, 17:00:00"	"Court"	"50"	"-14,00€"	"-0,06%"	"388,36€"	"-223,16€"	"-1,0"
"15 nov. 2012, 17:00:00"	"19 nov. 2012, 17:00:00"	"Court"	"14"	"-234,00€"	"-1,14%"	"58,20€"	"-236,64€"	"-19,5"
"7 nov. 2012, 05:00:00"	"15 nov. 2012, 17:00:00"	"Long"	"40"	"-82,50€"	"-0,44%"	"154,82€"	"-185,19€"	"-7,5"
"2 nov. 2012, 13:00:00"	"7 nov. 2012, 05:00:00"	"Court"	"17"	"-249,60€"	"-0,91%"	"485,92€"	"-246,24€"	"-15,6"
"8 oct. 2012, 13:00:00"	"31 oct. 2012, 13:00:00"	"Court"	"106"	"588,00€"	"+2,77%"	"780,36€"	"-112,44€"	"+49,0"
"28 sept. 2012, 01:00:00"	"8 oct. 2012, 13:00:00"	"Long"	"41"	"-82,00€"	"-0,46%"	"175,44€"	"-160,12€"	"-8,2"
"25 sept. 2012, 21:00:00"	"28 sept. 2012, 01:00:00"	"Court"	"13"	"-175,20€"	"-0,83%"	"283,80€"	"-173,04€"	"-14,6"
"31 août 2012, 17:00:00"	"25 sept. 2012, 01:00:00"	"Long"	"102"	"1099,20€"	"+5,47%"	"1246,72€"	"0,00€"	"+91,6"
"30 août 2012, 13:00:00"	"31 août 2012, 17:00:00"	"Court"	"7"	"-283,20€"	"-1,07%"	"20,23€"	"-283,45€"	"-17,7"
"17 août 2012, 05:00:00"	"30 août 2012, 13:00:00"	"Long"	"58"	"595,50€"	"+2,46%"	"902,18€"	"-13,72€"	"+39,7"
"14 août 2012, 17:00:00"	"17 août 2012, 05:00:00"	"Court"	"15"	"-187,20€"	"-0,90%"	"83,33€"	"-197,47€"	"-14,4"
"6 août 2012, 21:00:00"	"14 août 2012, 17:00:00"	"Long"	"36"	"-146,90€"	"-0,70%"	"143,27€"	"-143,77€"	"-11,3"
"1 août 2012, 21:00:00"	"6 août 2012, 21:00:00"	"Court"	"19"	"-141,90€"	"-0,81%"	"124,19€"	"-165,56€"	"-12,9"
"18 juil. 2012, 13:00:00"	"22 juil. 2012, 21:00:00"	"Court"	"15"	"-31,00€"	"-0,20%"	"37,00€"	"-109,00€"	"-3,1"
"15 juil. 2012, 21:00:00"	"18 juil. 2012, 13:00:00"	"Long"	"16"	"-135,00€"	"-0,85%"	"11,00€"	"-170,60€"	"-13,5"
"6 juil. 2012, 21:00:00"	"15 juil. 2012, 21:00:00"	"Court"	"33"	"-117,00€"	"-0,74%"	"219,23€"	"-171,87€"	"-11,7"
"29 juin 2012, 21:00:00"	"6 juil. 2012, 21:00:00"	"Long"	"31"	"-189,00€"	"-1,31%"	"174,24€"	"-232,80€"	"-21,0"
"13 juin 2012, 01:00:00"	"20 juin 2012, 17:00:00"	"Long"	"35"	"-80,00€"	"-0,62%"	"158,57€"	"-81,75€"	"-10,0"
"8 juin 2012, 05:00:00"	"13 juin 2012, 01:00:00"	"Court"	"19"	"-284,90€"	"-2,59%"	"0,00€"	"-302,62€"	"-40,7"
"1 juin 2012, 17:00:00"	"8 juin 2012, 05:00:00"	"Long"	"28"	"-245,40€"	"-2,54%"	"161,04€"	"-254,22€"	"-40,9"
"30 mai 2012, 01:00:00"	"1 juin 2012, 17:00:00"	"Court"	"16"	"-517,50€"	"-3,70%"	"97,83€"	"-521,73€"	"-57,5"
"28 mai 2012, 09:00:00"	"30 mai 2012, 01:00:00"	"Long"	"10"	"-261,00€"	"-1,83%"	"0,00€"	"-261,18€"	"-29,0"
"23 mai 2012, 09:00:00"	"28 mai 2012, 09:00:00"	"Court"	"19"	"-211,50€"	"-1,51%"	"157,32€"	"-240,21€"	"-23,5"
"18 mai 2012, 13:00:00"	"23 mai 2012, 09:00:00"	"Long"	"18"	"-281,70€"	"-1,97%"	"58,20€"	"-287,67€"	"-31,3"
