"Date d'entrée"	"Date de sortie"	"Type"	"Nb barres"	"Perf abs"	"Perf relat(%)"	"MFE"	"MAE"	"Gain unitaire"
"1 avr. 2021, 21:00:00"	"13 avr. 2021, 01:00:00"	"Long"	"39"	"56,00€"	"+0,32%"	"292,00€"	"-29,00€"	"+5,6"
"23 mars 2021, 21:00:00"	"1 avr. 2021, 21:00:00"	"Court"	"43"	"0,00€"	"+0,00%"	"485,00€"	"-85,00€"	"+0,0"
"25 févr. 2021, 13:00:00"	"10 mars 2021, 17:00:00"	"Court"	"57"	"537,60€"	"+3,76%"	"835,70€"	"0,00€"	"+67,2"
"23 févr. 2021, 01:00:00"	"25 févr. 2021, 13:00:00"	"Long"	"15"	"-217,80€"	"-1,34%"	"22,50€"	"-215,10€"	"-24,2"
"9 févr. 2021, 05:00:00"	"12 févr. 2021, 09:00:00"	"Long"	"19"	"-180,80€"	"-1,23%"	"46,60€"	"-182,20€"	"-22,6"
"2 févr. 2021, 17:00:00"	"9 févr. 2021, 05:00:00"	"Court"	"28"	"-47,60€"	"-0,37%"	"324,80€"	"-60,90€"	"-6,8"
"1 févr. 2021, 01:00:00"	"2 févr. 2021, 17:00:00"	"Long"	"10"	"-162,40€"	"-1,25%"	"56,70€"	"-189,70€"	"-23,2"
"8 janv. 2021, 05:00:00"	"20 janv. 2021, 17:00:00"	"Court"	"53"	"347,20€"	"+2,27%"	"796,50€"	"0,00€"	"+43,4"
"24 déc. 2020, 05:00:00"	"8 janv. 2021, 05:00:00"	"Long"	"55"	"305,10€"	"+1,81%"	"673,40€"	"-34,00€"	"+33,9"
"23 déc. 2020, 05:00:00"	"24 déc. 2020, 05:00:00"	"Court"	"6"	"-95,20€"	"-0,64%"	"0,00€"	"-97,00€"	"-11,9"
"15 déc. 2020, 21:00:00"	"23 déc. 2020, 05:00:00"	"Long"	"33"	"113,40€"	"+0,68%"	"388,10€"	"0,00€"	"+12,6"
"10 déc. 2020, 13:00:00"	"15 déc. 2020, 21:00:00"	"Court"	"21"	"-136,80€"	"-0,93%"	"75,20€"	"-136,80€"	"-17,1"
"2 déc. 2020, 13:00:00"	"10 déc. 2020, 13:00:00"	"Long"	"37"	"72,00€"	"+0,49%"	"355,20€"	"0,00€"	"+9,0"
